date,description,amount,type,category
17 Oct 2025,Interest earned - Theo new house,0.02,income,Interest
17 Oct 2025,From Theo new house,100.0,income,Transfer
17 Oct 2025,To Theo new house,10.0,expense,Transfer
18 Oct 2025,Interest earned - Theo new house,0.03,income,Interest
18 Oct 2025,To Theo new house,5.0,expense,Transfer
18 Oct 2025,From Theo new house,400.0,income,Transfer
18 Oct 2025,From Theo new house,100.0,income,Transfer
18 Oct 2025,To Theo new house,0.8,expense,Transfer
19 Oct 2025,Interest earned - Theo new house,0.01,income,Interest
19 Oct 2025,To Theo new house,200.0,expense,Transfer
19 Oct 2025,To Theo new house,5.0,expense,Transfer
20 Oct 2025,Interest earned - Theo new house,0.01,income,Interest
20 Oct 2025,To Theo new house,5.0,expense,Transfer
20 Oct 2025,From Theo new house,180.0,income,Transfer
20 Oct 2025,To Theo new house,8.5,expense,Transfer
21 Oct 2025,Interest earned - Theo new house,0.01,income,Interest
21 Oct 2025,To Theo new house,5.0,expense,Transfer
21 Oct 2025,To Theo new house,10.0,expense,Transfer
21 Oct 2025,To Theo new house,4.0,expense,Transfer
21 Oct 2025,To Theo new house,10.0,expense,Transfer
22 Oct 2025,Interest earned - Theo new house,0.0,income,Interest
22 Oct 2025,To Theo new house,5.0,expense,Transfer
22 Oct 2025,To Theo new house,4.0,expense,Transfer
22 Oct 2025,To Theo new house,1.1,expense,Transfer
23 Oct 2025,Interest earned - Theo new house,0.01,income,Interest
23 Oct 2025,To Theo new house,50.0,expense,Transfer
23 Oct 2025,To Theo new house,5.0,expense,Transfer
24 Oct 2025,Interest earned - Theo new house,0.01,income,Interest
24 Oct 2025,To Theo new house,5.0,expense,Transfer
25 Oct 2025,Interest earned - Theo new house,0.01,income,Interest
25 Oct 2025,To Theo new house,5.0,expense,Transfer
26 Oct 2025,Interest earned - Theo new house,0.01,income,Interest
26 Oct 2025,To Theo new house,5.0,expense,Transfer
26 Oct 2025,To Theo new house,1.0,expense,Transfer
26 Oct 2025,To Theo new house,10.0,expense,Transfer
26 Oct 2025,To Theo new house,3.0,expense,Transfer
26 Oct 2025,From Theo new house,80.0,income,Transfer
26 Oct 2025,From Theo new house,100.0,income,Transfer
26 Oct 2025,To Theo new house,3.0,expense,Transfer
26 Oct 2025,From Theo new house,100.0,income,Transfer
27 Oct 2025,To Theo new house,5.0,expense,Transfer
27 Oct 2025,From Theo new house,7.0,income,Transfer
28 Oct 2025,To Theo new house,5.0,expense,Transfer
29 Oct 2025,To Theo new house,5.0,expense,Transfer
29 Oct 2025,From Theo new house,10.0,income,Transfer
29 Oct 2025,To Theo new house,10.0,expense,Transfer
31 Oct 2025,To Theo new house,5.0,expense,Transfer
31 Oct 2025,To Theo new house,0.1,expense,Transfer
1 Nov 2025,To Theo new house,5.0,expense,Transfer
1 Nov 2025,To Theo new house,0.6,expense,Transfer
1 Nov 2025,To Theo new house,8.0,expense,Transfer
2 Nov 2025,To Theo new house,5.0,expense,Transfer
2 Nov 2025,To Theo new house,5.0,expense,Transfer
2 Nov 2025,To Theo new house,10.0,expense,Transfer
3 Nov 2025,To Theo new house,5.0,expense,Transfer
3 Nov 2025,To Theo new house,300.0,expense,Transfer
4 Nov 2025,Interest earned - Theo new house,0.02,income,Interest
4 Nov 2025,To Theo new house,5.0,expense,Transfer
5 Nov 2025,Interest earned - Theo new house,0.02,income,Interest
5 Nov 2025,To Theo new house,5.0,expense,Transfer
5 Nov 2025,To Theo new house,5.6,expense,Transfer
5 Nov 2025,To Theo new house,5.6,expense,Transfer
5 Nov 2025,To Theo new house,3.5,expense,Transfer
6 Nov 2025,Interest earned - Theo new house,0.01,income,Interest
6 Nov 2025,To Theo new house,5.0,expense,Transfer
6 Nov 2025,To Theo new house,10.0,expense,Transfer
6 Nov 2025,To Theo new house,10.0,expense,Transfer
7 Nov 2025,Interest earned - Theo new house,0.02,income,Interest
7 Nov 2025,To Theo new house,7.7,expense,Transfer
7 Nov 2025,To Theo new house,5.0,expense,Transfer
8 Nov 2025,Interest earned - Theo new house,0.01,income,Interest
8 Nov 2025,To Theo new house,5.0,expense,Transfer
8 Nov 2025,To Theo new house,5.5,expense,Transfer
9 Nov 2025,Interest earned - Theo new house,0.02,income,Interest
9 Nov 2025,To Theo new house,5.0,expense,Transfer
9 Nov 2025,To Theo new house,0.7,expense,Transfer
10 Nov 2025,Interest earned - Theo new house,0.02,income,Interest
11 Nov 2025,Interest earned - Theo new house,0.02,income,Interest
